t,x,y,z,r_x,r_y,r_z,f_x,f_y,f_z,u_x,u_y,u_z
17.5,0,10563.8,0,1,0,0,0,1,0,0,0,1
17.6,0,10631.2,0,1,0,0,0,1,0,0,0,1
17.7,0,10698.8,0,1,0,0,0,1,0,0,0,1
17.8,0,10766.2,0,1,0,0,0,1,0,0,0,1
17.9,0,10833.8,0,1,0,0,0,1,0,0,0,1
18,0,10901.2,0,1,0,0,0,1,0,0,0,1
18.1,0,10968.8,0,1,0,0,0,1,0,0,0,1
18.2,0,11036.2,0,1,0,0,0,1,0,0,0,1
18.3,0,11103.8,0,1,0,0,0,1,0,0,0,1
18.4,0,11171.2,0,1,0,0,0,1,0,0,0,1
18.5,0,11238.8,0,1,0,0,0,1,0,0,0,1
18.6,0,11306.2,0,1,0,0,0,1,0,0,0,1
18.7,0,11373.8,0,1,0,0,0,1,0,0,0,1
18.8,0,11441.2,0,1,0,0,0,1,0,0,0,1
18.9,0,11508.8,0,1,0,0,0,1,0,0,0,1
19,0,11576.2,0,1,0,0,0,1,0,0,0,1
19.1,0,11643.8,0,1,0,0,0,1,0,0,0,1
19.2,0,11711.2,0,1,0,0,0,1,0,0,0,1
19.3,0,11778.8,0,1,0,0,0,1,0,0,0,1
19.4,0,11846.2,0,1,0,0,0,1,0,0,0,1
19.5,0,11913.8,0,1,0,0,0,1,0,0,0,1
19.6,0,11981.2,0,1,0,0,0,1,0,0,0,1
19.7,0,12048.8,0,1,0,0,0,1,0,0,0,1
19.8,0,12116.2,0,1,0,0,0,1,0,0,0,1
19.9,0,12183.8,0,1,0,0,0,1,0,0,0,1
20,0,12251.2,0,1,0,0,0,1,0,0,0,1
